          Date Of Operation:,01/01/2010 to 04/03/2021,,,,,,,,,,,,,,,,,,,,,,,,,
Date Mode:,ERP Transaction Date,,,,,,,,,,,,,,,,,,,,,,,,,
Branch:,1/1/2010,,,,,,,,,,,,,,,,,,,,,,,,,
Department:,All,,,,,,,,,,,,,,,,,,,,,,,,,
Sr.,Date,Academic Year,Session,Alloted Category,Voucher Type,Voucher No.,Roll No.,Admno/UniqueId,Status,Fee Category,Faculty,Program,Department,Batch,Receipt No.,Fee Head,Due Amount,Paid Amount,Concession Amount,Scholarship Amount,Reverse Concession Amount,Write Off Amount,Adjusted Amount,Refund Amount,Fund Transfer Amount,Remarks
1,19-11-2020,2020-2021,2020-2021,AIE,RCPT,1024707,14872T020CUGCOB101N368,20GCOB1010375,Provisional,General,School of Business,Bachelor of Business Administration,School of Business,BBA 2020-2021 I Sem I,2020-2021/AIE/C13/9944,TUITION FEE,0,20000,0,0,0,0,0,0,0,19/11/2020 UG2017045 pay_G2x7D0gP6ZCDvi order_G2x42yfDzA7ceL 9_293_2149_9088 Cetl_G3jtqi3J8nOC1V Razorpay 20000
2,28-08-2020,2020-2021,2020-2021,,RCPT,1014509,3171T020CUGCFC101N003,20GCFC1030009,Withdrawn,General,School of Finance & Commerce,B.Com. (Hons.) International Accounting and Finance ,School of Finance,B.Com. (Hons.) International Accounting and Finance 2020-21 I Sem I,2020-2021/AIE/C13/2169,TUITION FEE,0,87000,0,0,0,0,0,0,0,UG2007528 < order_FW14P2q2nGCVhx 24_293_2149_3134 []Cetl_FXI0KMX7aZqZg5 Razorpay 
3,28-08-2020,2020-2021,2020-2021,,RCPT,1014509,3171T020CUGCFC101N003,20GCFC1030009,Withdrawn,General,School of Finance & Commerce,B.Com. (Hons.) International Accounting and Finance ,School of Finance,B.Com. (Hons.) International Accounting and Finance 2020-21 I Sem I,2020-2021/AIE/C13/2169,Exam Fee,0,10000,0,0,0,0,0,0,0,UG2007528 < order_FW14P2q2nGCVhx 24_293_2149_3134 []Cetl_FXI0KMX7aZqZg5 Razorpay 
4,7/6/2011,2011-2012,2011-2012,AIE,RCPT,893553,11CETBT102001,11CETBT102001,Alumni,General,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering 2011-2012 IV Sem VIII,2887,TUITION FEE,0,128000,0,0,0,0,0,0,0,
5,7/6/2011,2011-2012,2011-2012,AIE,RCPT,893553,11CETBT102001,11CETBT102001,Alumni,General,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering 2011-2012 IV Sem VIII,2887,Security Fee,0,10000,0,0,0,0,0,0,0,
6,9/6/2011,2011-2012,2011-2012,AIE,RCPT,896845,11CETBT101001,11CETBT101001,Alumni,General,School of Computing Science & Engineering,B.Tech/B.Tech (Hons) Computer Science Engineering,School of Computing Science,B.Tech/B.Tech (Hons) Computer Science Engineering 2011-2012 IV Sem VIII,2,TUITION FEE,0,128000,0,0,0,0,0,0,0,
7,9/6/2011,2011-2012,2011-2012,AIE,RCPT,896845,11CETBT101001,11CETBT101001,Alumni,General,School of Computing Science & Engineering,B.Tech/B.Tech (Hons) Computer Science Engineering,School of Computing Science,B.Tech/B.Tech (Hons) Computer Science Engineering 2011-2012 IV Sem VIII,2,Security Fee,0,10000,0,0,0,0,0,0,0,
8,9/6/2011,2011-2012,2011-2012,AIE,RCPT,889488,11CETBT105001,11CETBT105001,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,2994,TUITION FEE,0,118000,0,0,0,0,0,0,0,
9,9/6/2011,2011-2012,2011-2012,AIE,RCPT,889488,11CETBT105001,11CETBT105001,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,2994,Security Fee,0,10000,0,0,0,0,0,0,0,
10,9/6/2011,2011-2012,2011-2012,AIE,RCPT,891079,11CETBT103001,11CETBT103001,No Information,General,School of Civil Engineering,B.Tech/B.Tech (Hons) Civil Engineering,School of Civil Engineering,B.Tech/B.Tech (Hons) Civil Engineering 2011-2012 I Sem II,4,TUITION FEE,0,128000,0,0,0,0,0,0,0,
11,9/6/2011,2011-2012,2011-2012,AIE,RCPT,891079,11CETBT103001,11CETBT103001,No Information,General,School of Civil Engineering,B.Tech/B.Tech (Hons) Civil Engineering,School of Civil Engineering,B.Tech/B.Tech (Hons) Civil Engineering 2011-2012 I Sem II,4,Security Fee,0,10000,0,0,0,0,0,0,0,
12,11/6/2011,2011-2012,2011-2012,AIE,RCPT,889478,11CETBT105002,11CETBT105002,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,7,TUITION FEE,0,38000,0,0,0,0,0,0,0,
13,11/6/2011,2011-2012,2011-2012,AIE,RCPT,896837,11CETBT101002,11CETBT101002,No Information,General,School of Computing Science & Engineering,B.Tech/B.Tech (Hons) Computer Science Engineering,School of Computing Science,B.Tech/B.Tech (Hons) Computer Science Engineering 2011-2012 I Sem II,8,TUITION FEE,0,128000,0,0,0,0,0,0,0,
14,11/6/2011,2011-2012,2011-2012,AIE,RCPT,896837,11CETBT101002,11CETBT101002,No Information,General,School of Computing Science & Engineering,B.Tech/B.Tech (Hons) Computer Science Engineering,School of Computing Science,B.Tech/B.Tech (Hons) Computer Science Engineering 2011-2012 I Sem II,8,Security Fee,0,10000,0,0,0,0,0,0,0,
15,11/6/2011,2011-2012,2011-2012,AIE,RCPT,889479,11CETBT105002,11CETBT105002,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,6,TUITION FEE,0,90000,0,0,0,0,0,0,0,
16,11/6/2011,2011-2012,2011-2012,AIE,RCPT,889479,11CETBT105002,11CETBT105002,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,6,Security Fee,0,10000,0,0,0,0,0,0,0,
17,13-06-2011,2011-2012,2011-2012,AIE,RCPT,886529,11COMBB101001,11COMBB101001,Alumni,General,School of Business,Bachelor of Business Administration,School of Business,BBA 2011-2012 III Sem VI,3066,TUITION FEE,0,65000,0,0,0,0,0,0,0,
18,13-06-2011,2011-2012,2011-2012,AIE,RCPT,886529,11COMBB101001,11COMBB101001,Alumni,General,School of Business,Bachelor of Business Administration,School of Business,BBA 2011-2012 III Sem VI,3066,Ajustable_Excess_Amount,0,6000,0,0,0,0,0,0,0,
19,13-06-2011,2011-2012,2011-2012,AIE,RCPT,886529,11COMBB101001,11COMBB101001,Alumni,General,School of Business,Bachelor of Business Administration,School of Business,BBA 2011-2012 III Sem VI,3066,Security Fee,0,10000,0,0,0,0,0,0,0,
20,13-06-2011,2011-2012,2011-2012,AIE,RCPT,886524,11COMBB101002,11COMBB101002,Alumni,General,School of Business,Bachelor of Business Administration,School of Business,BBA 2011-2012 III Sem VI,18,TUITION FEE,0,65000,0,0,0,0,0,0,0,
21,13-06-2011,2011-2012,2011-2012,AIE,RCPT,886524,11COMBB101002,11COMBB101002,Alumni,General,School of Business,Bachelor of Business Administration,School of Business,BBA 2011-2012 III Sem VI,18,Security Fee,0,10000,0,0,0,0,0,0,0,
22,13-06-2011,2011-2012,2011-2012,AIE,RCPT,896826,11CETBT101005,11CETBT101005,Alumni,General,School of Computing Science & Engineering,B.Tech/B.Tech (Hons) Computer Science Engineering,School of Computing Science,B.Tech/B.Tech (Hons) Computer Science Engineering 2011-2012 IV Sem VIII,17,TUITION FEE,0,128000,0,0,0,0,0,0,0,
